name,index,site,url,warm_time,temperature
cores2,0,facebook,https___m.facebook.com_rihanna,988,46.000000
cores2,1,facebook,https___m.facebook.com_rihanna,960,47.000000
cores2,2,facebook,https___m.facebook.com_rihanna,922,52.000000
cores2,3,facebook,https___m.facebook.com_rihanna,955,52.000000
cores2,4,facebook,https___m.facebook.com_rihanna,1045,55.000000
cores2,5,facebook,https___m.facebook.com_rihanna,1096,55.000000
cores2,6,facebook,https___m.facebook.com_rihanna,1030,59.000000
cores2,7,facebook,https___m.facebook.com_rihanna,1118,58.000000
cores2,8,facebook,https___m.facebook.com_rihanna,991,57.000000
cores2,9,facebook,https___m.facebook.com_rihanna,1006,56.000000
cores2,10,facebook,https___m.facebook.com_rihanna,1046,57.000000
cores2,11,facebook,https___m.facebook.com_rihanna,1051,59.000000
cores2,12,facebook,https___m.facebook.com_rihanna,1051,59.000000
cores2,13,facebook,https___m.facebook.com_rihanna,1319,60.000000
cores2,14,facebook,https___m.facebook.com_rihanna,1296,55.000000
cores2,15,facebook,https___m.facebook.com_rihanna,1227,56.000000
cores2,16,facebook,https___m.facebook.com_rihanna,1230,57.000000
cores2,17,facebook,https___m.facebook.com_rihanna,1237,56.000000
cores2,18,facebook,https___m.facebook.com_rihanna,1151,56.000000
cores2,19,facebook,https___m.facebook.com_rihanna,1255,56.000000
cores2,20,facebook,https___m.facebook.com_rihanna,1290,57.000000
cores2,21,facebook,https___m.facebook.com_rihanna,1320,56.000000
cores2,22,facebook,https___m.facebook.com_rihanna,1183,58.000000
cores2,23,facebook,https___m.facebook.com_rihanna,1287,57.000000
cores2,24,facebook,https___m.facebook.com_rihanna,1216,58.000000
cores2,25,facebook,https___m.facebook.com_rihanna,1219,58.000000
cores2,26,facebook,https___m.facebook.com_rihanna,1137,57.000000
cores2,27,facebook,https___m.facebook.com_rihanna,1301,57.000000
cores2,28,facebook,https___m.facebook.com_rihanna,1257,58.000000
cores2,0,amazon,http___www.amazon.com_gp_aw_s_?k_nexus,458,46.000000
cores2,1,amazon,http___www.amazon.com_gp_aw_s_?k_nexus,393,50.000000
cores2,2,amazon,http___www.amazon.com_gp_aw_s_?k_nexus,453,54.000000
cores2,3,amazon,http___www.amazon.com_gp_aw_s_?k_nexus,452,53.000000
cores2,4,amazon,http___www.amazon.com_gp_aw_s_?k_nexus,518,56.000000
cores2,5,amazon,http___www.amazon.com_gp_aw_s_?k_nexus,468,59.000000
cores2,6,amazon,http___www.amazon.com_gp_aw_s_?k_nexus,481,57.000000
cores2,7,amazon,http___www.amazon.com_gp_aw_s_?k_nexus,508,58.000000
cores2,8,amazon,http___www.amazon.com_gp_aw_s_?k_nexus,597,56.000000
